Product(original_price=290.0, new_price=164.0, offer_percentage=0, item_name='Rechargeable Wet/Dry Beard & Hair Trimmer, 12 Cutting lengths, 8 hours full charge,40 min use- ER2031', item_link='https://minutes.noon.com/saudi-en/now-product/Z0F3F16CD2A724B1252B8Z-1')
Product(original_price=105.0, new_price=48.0, offer_percentage=0, item_name='Into the Night Fine Fragrance Mist', item_link='https://minutes.noon.com/saudi-en/now-product/Z9AB6A48F107D0A5749ACZ-1')
Product(original_price=149.0, new_price=69.0, offer_percentage=0, item_name='Easy Speed Steam Iron', item_link='https://minutes.noon.com/saudi-en/now-product/Z2681FD649C550EEBF026Z-1')
Product(original_price=12.0, new_price=7.0, offer_percentage=0, item_name='60 Seconds Super Shine Nail Polish –', item_link='https://minutes.noon.com/saudi-en/now-product/ZC313195871EDDD11FAB7Z-1')
Product(original_price=26.5, new_price=12.95, offer_percentage=0, item_name="noon's (NOT) Fried Chicken Ice Cream Single", item_link='https://minutes.noon.com/saudi-en/now-product/ZF2B3ADC021DFB283E364Z-1')
Product(original_price=699.0, new_price=399.0, offer_percentage=0, item_name='2nd Generation Digital Pencil', item_link='https://minutes.noon.com/saudi-en/now-product/ZCF182868F31795C17996Z-1')
Product(original_price=199.0, new_price=69.0, offer_percentage=0, item_name='FHD 1080 Indoor WIFI Security Camera/Human Detection/Built-in Siren/ Night Vision/Two-way Talk/ Up to 256GB SD Card/ Cue 2', item_link='https://minutes.noon.com/saudi-en/now-product/ZECFAC79E22B27EC2ACF3Z-1')
Product(original_price=199.0, new_price=99.0, offer_percentage=0, item_name='Smart Band 8 (BHR7165GL) – Graphite Black, 1.62" AMOLED, Heart Rate & SpO₂ Monitor, 150+ Sports Modes, 16-Day Battery, 5ATM Water Resistance', item_link='https://minutes.noon.com/saudi-en/now-product/Z283A372E90FB9ACFB34AZ-1')
Product(original_price=129.0, new_price=69.0, offer_percentage=0, item_name='2MP Indoor Smart Camera Wi-Fi 6, Pan & Tilt 360 View, Auto Tracking, Two way talk, Human detection, Privacy Mode, Night Vision', item_link='https://minutes.noon.com/saudi-en/now-product/Z8B4FE621700F0FA1A05BZ-1')
|Product(original_price=199.0, new_price=109.0, offer_percentage=0, item_name='5MP 3K Indoor Smart Camera || Wi-Fi 6 || Pan & Tilt 360 View || Auto Tracking || Two way talk || Call button || Human detection || Privacy Mode || Night Vision || Model DH-H5B || White', item_link='https://minutes.noon.com/saudi-en/now-product/Z94A8BE6C354A404444B4Z-1')|
